ds;y
2016-04-27;7726
2016-04-28;7880
2016-04-29;6863
2016-04-30;333
2016-05-01;137
2016-05-02;260
2016-05-03;488
2016-05-04;7331
2016-05-05;6948
2016-05-06;6164
2016-05-07;264
2016-05-08;194
2016-05-09;248
2016-05-10;7263
2016-05-11;7741
2016-05-12;7557
2016-05-13;7270
2016-05-14;360
2016-05-15;288
2016-05-16;5991
2016-05-17;6362
2016-05-18;6276
2016-05-19;5866
2016-05-20;5454
2016-05-21;206
2016-05-22;173
2016-05-23;5407
2016-05-24;5851
2016-05-25;5510
2016-05-26;5510
2016-05-27;5239
2016-05-28;361
2016-05-29;188
2016-05-30;5736
2016-05-31;5954
2016-06-01;7114
2016-06-02;6244
2016-06-03;6019
2016-06-04;292
2016-06-05;308
2016-06-06;7019
2016-06-07;7467
2016-06-08;7546
2016-06-09;7452
2016-06-10;6289
2016-06-11;263
2016-06-12;133
2016-06-13;336
2016-06-14;5753
2016-06-15;6113
2016-06-16;6365
2016-06-17;5639
2016-06-18;307
2016-06-19;222
2016-06-20;6277
2016-06-21;6236
2016-06-22;6474
2016-06-23;6390
2016-06-24;5784
2016-06-25;278
2016-06-26;230
2016-06-27;6705
2016-06-28;7293
2016-06-29;7565
2016-06-30;7426
2016-07-01;6685
2016-07-02;407
2016-07-03;503
2016-07-04;8263
2016-07-05;8522
2016-07-06;9266
2016-07-07;9748
2016-07-08;8722
2016-07-09;572
2016-07-10;490
2016-07-11;9543
2016-07-12;8445
2016-07-13;8179
2016-07-14;8343
2016-07-15;7248
2016-07-16;603
2016-07-17;392
2016-07-18;7941
2016-07-19;9723
2016-07-20;9484
2016-07-21;7508
2016-07-22;7574
2016-07-23;514
2016-07-24;521
2016-07-25;8872
2016-07-26;5136
2016-07-27;5015
2016-07-28;4920
2016-07-29;4185
2016-07-30;199
2016-07-31;196
2016-08-01;4789
2016-08-02;4700
2016-08-03;5045
2016-08-04;5264
2016-08-05;5144
2016-08-06;172
2016-08-07;152
2016-08-08;5627
2016-08-09;5448
2016-08-10;5245
2016-08-11;4891
2016-08-12;4574
2016-08-13;148
2016-08-14;159
2016-08-15;4583
2016-08-16;4780
2016-08-17;4695
2016-08-18;4615
2016-08-19;4328
2016-08-20;165
2016-08-21;184
2016-08-22;4725
2016-08-23;4378
2016-08-24;4476
2016-08-25;4198
2016-08-26;3861
2016-08-27;151
2016-08-28;207
2016-08-29;4745
2016-08-30;4379
2016-08-31;4726
2016-09-01;4442
2016-09-02;4566
2016-09-03;207
2016-09-04;192
2016-09-05;5249
2016-09-06;5604
2016-09-07;5808
2016-09-08;5686
2016-09-09;5540
2016-09-10;253
2016-09-11;232
2016-09-12;5198
2016-09-13;5263
2016-09-14;5028
2016-09-15;4890
2016-09-16;4560
2016-09-17;202
2016-09-18;184
2016-09-19;5119
2016-09-20;5585
2016-09-21;5565
2016-09-22;5938
2016-09-23;5134
2016-09-24;232
2016-09-25;202
2016-09-26;6336
2016-09-27;6609
2016-09-28;7008
2016-09-29;7018
2016-09-30;6675
2016-10-01;320
2016-10-02;309
2016-10-03;7293
2016-10-04;8387
2016-10-05;10083
2016-10-06;9561
2016-10-07;9438
2016-10-08;571
2016-10-09;555
2016-10-10;10014
2016-10-11;8350
2016-10-12;7962
2016-10-13;8161
2016-10-14;7502
2016-10-15;629
2016-10-16;465
2016-10-17;8718
2016-10-18;9232
2016-10-19;9605
2016-10-20;9582
2016-10-21;7858
2016-10-22;620
2016-10-23;485
2016-10-24;9377
2016-10-25;10178
2016-10-26;6054
2016-10-27;5618
2016-10-28;5127
2016-10-29;322
2016-10-30;216
2016-10-31;5321
2016-11-01;5438
2016-11-02;5864
2016-11-03;5716
2016-11-04;267
2016-11-05;187
2016-11-06;249
2016-11-07;6234
2016-11-08;6575
2016-11-09;6866
2016-11-10;6700
2016-11-11;5897
2016-11-12;273
2016-11-13;204
2016-11-14;6499
2016-11-15;6956
2016-11-16;6785
2016-11-17;7030
2016-11-18;6682
2016-11-19;255
2016-11-20;221
2016-11-21;6842
2016-11-22;5711
2016-11-23;5981
2016-11-24;5837
2016-11-25;5494
2016-11-26;315
2016-11-27;280
2016-11-28;6220
2016-11-29;6340
2016-11-30;6383
2016-12-01;6110
2016-12-02;6620
2016-12-03;393
2016-12-04;295
2016-12-05;7458
2016-12-06;7804
2016-12-07;8233
2016-12-08;8156
2016-12-09;7561
2016-12-10;409
2016-12-11;371
2016-12-12;7717
2016-12-13;7399
2016-12-14;7438
2016-12-15;7349
2016-12-16;6724
2016-12-17;382
2016-12-18;367
2016-12-19;7581
2016-12-20;7684
2016-12-21;7903
2016-12-22;8579
2016-12-23;7613
2016-12-24;436
2016-12-25;340
2016-12-26;8983
2016-12-27;9142
2016-12-28;9157
2016-12-29;8750
2016-12-30;6007
2016-12-31;274
2017-01-01;81
